id,name,slug,code,longcode,gateway,pay_with_bank,active,country,currency,type,is_deleted,createdAt,updatedAt
302,9mobile 9Payment Service Bank,9mobile-9payment-service-bank-ng,120001,120001,,False,True,Nigeria,NGN,nuban,False,2022-05-31T06:50:27.000Z,2022-06-23T09:33:55.000Z
174,Abbey Mortgage Bank,abbey-mortgage-bank-ng,404,,,False,True,Nigeria,NGN,nuban,False,2020-12-07T16:19:09.000Z,2023-09-14T13:02:38.000Z
188,Above Only MFB,above-only-mfb,51204,,,False,True,Nigeria,NGN,nuban,False,2021-10-13T20:35:17.000Z,2021-10-13T20:35:17.000Z
627,Abulesoro MFB,abulesoro-mfb-ng,51312,,,False,True,Nigeria,NGN,nuban,False,2022-08-31T08:26:20.000Z,2022-08-31T08:26:20.000Z
1,Access Bank,access-bank,044,044150149,emandate,False,True,Nigeria,NGN,nuban,False,2016-07-14T10:04:29.000Z,2020-02-18T08:06:44.000Z
3,Access Bank (Diamond),access-bank-diamond,063,063150162,emandate,False,True,Nigeria,NGN,nuban,False,2016-07-14T10:04:29.000Z,2020-02-18T08:06:48.000Z
495,Accion Microfinance Bank,accion-microfinance-bank-ng,602,,emandate,False,True,Nigeria,NGN,nuban,False,2022-07-28T14:22:56.000Z,2022-09-19T07:48:37.000Z
676,Ahmadu Bello University Microfinance Bank,ahmadu-bello-university-microfinance-bank-ng,50036,,,False,True,Nigeria,NGN,nuban,False,2022-11-14T13:35:42.000Z,2022-11-14T13:35:42.000Z
300,Airtel Smartcash PSB,airtel-smartcash-psb-ng,120004,120004,,False,True,Nigeria,NGN,nuban,False,2022-05-30T14:03:00.000Z,2022-05-31T06:58:22.000Z
698,AKU Microfinance Bank,aku-mfb,51336,,,False,True,Nigeria,NGN,nuban,False,2023-05-04T15:12:34.000Z,2023-05-04T15:12:34.000Z
497,Akuchukwu Microfinance Bank Limited,akuchukwu-microfinance-bank-limited-ng,090561,090561,emandate,False,True,Nigeria,NGN,nuban,False,2022-07-28T14:22:56.000Z,2023-11-03T12:09:37.000Z
27,ALAT by WEMA,alat-by-wema,035A,035150103,emandate,False,True,Nigeria,NGN,nuban,False,2017-11-15T12:21:31.000Z,2022-05-31T15:54:34.000Z
707,Amegy Microfinance Bank,amegy-microfinance-bank-ng,090629,090629,,False,True,Nigeria,NGN,nuban,False,2023-07-20T09:52:18.000Z,2023-07-20T09:52:18.000Z
179,Amju Unique MFB,amju-unique-mfb,50926,511080896,,False,True,Nigeria,NGN,nuban,False,2021-07-07T13:45:57.000Z,2021-07-07T13:45:57.000Z
689,AMPERSAND MICROFINANCE BANK,ampersand-microfinance-bank-ng,51341,,,False,True,Nigeria,NGN,nuban,False,2023-03-23T11:11:40.000Z,2023-03-23T11:11:40.000Z
614,Aramoko MFB,aramoko-mfb,50083,,,False,True,Nigeria,NGN,nuban,False,2022-08-10T09:48:24.000Z,2022-08-10T09:48:24.000Z
63,ASO Savings and Loans,asosavings,401,,,False,True,Nigeria,NGN,nuban,False,2018-09-23T05:52:38.000Z,2019-01-30T09:38:57.000Z
297,Astrapolaris MFB LTD,astrapolaris-mfb,MFB50094,,,False,True,Nigeria,NGN,nuban,False,2022-05-25T10:46:17.000Z,2022-05-25T10:46:17.000Z
181,Bainescredit MFB,bainescredit-mfb,51229,,,False,True,Nigeria,NGN,nuban,False,2021-07-12T14:41:18.000Z,2021-07-12T14:41:18.000Z
686,Banc Corp Microfinance Bank,banc-corp-microfinance-bank-ng,50117,50117,,False,True,Nigeria,NGN,nuban,False,2023-03-06T15:39:58.000Z,2023-03-06T15:39:58.000Z
